Id,Weekly_Sales
1_5_2013-05-03,24247.09315
1_5_2013-05-10,24289.32505
1_5_2013-05-17,23418.1564
1_5_2013-05-24,19836.94665
1_5_2013-05-31,20408.53775
1_5_2013-06-07,21205.56715
1_5_2013-06-14,18901.21965
1_5_2013-06-21,18257.4909
1_5_2013-06-28,18309.40475
1_5_2013-07-05,19901.0498
1_5_2013-07-12,18941.21765
1_5_2013-07-19,19824.3168
1_5_2013-07-26,21243.90385
1_6_2012-11-02,3451.2654
1_6_2012-11-09,3844.68625
1_6_2012-11-16,3473.3242
1_6_2012-11-23,17676.3515
1_6_2012-11-30,5978.2166
1_6_2012-12-07,5354.6631
1_6_2012-12-14,8257.5973
1_6_2012-12-21,13781.0504
1_6_2012-12-28,6307.5178
1_6_2013-01-04,4677.60665
1_6_2013-01-11,2951.1562
1_6_2013-01-18,4222.12985
1_6_2013-01-25,2305.9301
1_6_2013-02-01,4129.02695
1_6_2013-02-08,6198.3439
1_6_2013-02-15,4510.20375
1_6_2013-02-22,4565.84415
1_6_2013-03-01,4173.7932
1_6_2013-03-08,3851.3455
1_6_2013-03-15,3626.4817
1_6_2013-03-22,4563.93565
1_6_2013-03-29,4908.3479
1_6_2013-04-05,4747.89705
1_6_2013-04-12,3737.8486
1_6_2013-04-19,3819.6137
1_6_2013-04-26,3626.02035
1_6_2013-05-03,3767.19415
1_6_2013-05-10,3871.75205
1_6_2013-05-17,3722.7293
1_6_2013-05-24,4213.934
1_6_2013-05-31,4254.13375
1_6_2013-06-07,3745.02095
1_6_2013-06-14,3122.1164
1_6_2013-06-21,3138.23745
1_6_2013-06-28,2474.36655
1_6_2013-07-05,4273.53345
1_6_2013-07-12,3433.62635
1_6_2013-07-19,3941.71475
1_6_2013-07-26,3800.0771
1_7_2012-11-02,18446.50625
1_7_2012-11-09,23073.7396
1_7_2012-11-16,23438.39565
1_7_2012-11-23,70227.62825
1_7_2012-11-30,33411.44275
1_7_2012-12-07,36699.74185
1_7_2012-12-14,55369.9323
1_7_2012-12-21,90554.5565
1_7_2012-12-28,36132.9537
1_7_2013-01-04,23695.8774
1_7_2013-01-11,11603.718
1_7_2013-01-18,23641.1319
1_7_2013-01-25,18615.81135
1_7_2013-02-01,21222.16295
1_7_2013-02-08,19749.7716
1_7_2013-02-15,18276.82115
1_7_2013-02-22,17953.2373
1_7_2013-03-01,21187.67495
1_7_2013-03-08,19987.41315
1_7_2013-03-15,19294.8326
1_7_2013-03-22,23932.1121
1_7_2013-03-29,23504.07275
1_7_2013-04-05,23549.12895
1_7_2013-04-12,20185.3588
1_7_2013-04-19,23477.32595
1_7_2013-04-26,19951.9316
1_7_2013-05-03,23173.16225
1_7_2013-05-10,21399.5312
1_7_2013-05-17,21363.47135
1_7_2013-05-24,25986.0606
1_7_2013-05-31,29323.89525
1_7_2013-06-07,21997.8704
1_7_2013-06-14,22830.61445
1_7_2013-06-21,23782.34495
1_7_2013-06-28,19378.11675
1_7_2013-07-05,23743.7648
1_7_2013-07-12,21984.146
1_7_2013-07-19,22759.1342
1_7_2013-07-26,20424.7915
1_8_2012-11-02,37594.9067
1_8_2012-11-09,35617.9887
1_8_2012-11-16,34247.17245
1_8_2012-11-23,33425.29315
1_8_2012-11-30,36576.53935
1_8_2012-12-07,37889.8153
1_8_2012-12-14,36722.11855
1_8_2012-12-21,39449.43185
1_8_2012-12-28,33940.2739
1_8_2013-01-04,36194.5299
1_8_2013-01-11,34605.25345
1_8_2013-01-18,36405.8494
1_8_2013-01-25,35220.22185
1_8_2013-02-01,38954.35185
1_8_2013-02-08,39417.94035
1_8_2013-02-15,38857.83945
1_8_2013-02-22,39081.5021
1_8_2013-03-01,36709.2095
1_8_2013-03-08,36613.1989
1_8_2013-03-15,37656.3961
1_8_2013-03-22,39390.05055
1_8_2013-03-29,38221.5169
1_8_2013-04-05,37633.0252
1_8_2013-04-12,37133.62725
1_8_2013-04-19,37786.01675
1_8_2013-04-26,37155.1139
1_8_2013-05-03,37791.42515
1_8_2013-05-10,37386.41615
1_8_2013-05-17,39093.34915
1_8_2013-05-24,38799.1911
1_8_2013-05-31,39066.05365
1_8_2013-06-07,38336.0164
1_8_2013-06-14,39129.81335
1_8_2013-06-21,39116.0453
1_8_2013-06-28,37506.52585
1_8_2013-07-05,38579.8674
1_8_2013-07-12,38340.16255
1_8_2013-07-19,38432.49805
1_8_2013-07-26,37790.5602
1_9_2012-11-02,23800.41075
1_9_2012-11-09,34360.0158
1_9_2012-11-16,26550.0729
1_9_2012-11-23,41015.2688
1_9_2012-11-30,25776.0815
1_9_2012-12-07,28158.3657
1_9_2012-12-14,25920.7318
1_9_2012-12-21,39690.09575
1_9_2012-12-28,27477.85065
1_9_2013-01-04,22861.9298
1_9_2013-01-11,17078.0041
1_9_2013-01-18,21855.4522
1_9_2013-01-25,16585.39985
1_9_2013-02-01,23911.8911
1_9_2013-02-08,23531.3562
1_9_2013-02-15,23388.64165
1_9_2013-02-22,27260.22705
1_9_2013-03-01,30780.5448
1_9_2013-03-08,29288.83775
1_9_2013-03-15,30736.52435
1_9_2013-03-22,33717.9274
1_9_2013-03-29,30228.54185
1_9_2013-04-05,30316.29635
1_9_2013-04-12,31775.6787
1_9_2013-04-19,33085.5805
1_9_2013-04-26,28881.28265
1_9_2013-05-03,33230.01265
1_9_2013-05-10,29989.52655
1_9_2013-05-17,31493.521
1_9_2013-05-24,28757.26865
1_9_2013-05-31,32473.9784
1_9_2013-06-07,29355.4596
1_9_2013-06-14,27888.827
1_9_2013-06-21,28012.4808
1_9_2013-06-28,25085.02895
1_9_2013-07-05,27541.14295
1_9_2013-07-12,27680.6201
1_9_2013-07-19,30160.7851
1_9_2013-07-26,33164.32055
1_10_2012-11-02,30559.47905
1_10_2012-11-09,32814.96975
1_10_2012-11-16,30181.8966
1_10_2012-11-23,30518.3366
1_10_2012-11-30,30060.82655
1_10_2012-12-07,31778.18005
1_10_2012-12-14,29465.2841
1_10_2012-12-21,30929.9966
1_10_2012-12-28,28626.95395
1_10_2013-01-04,28806.6331
1_10_2013-01-11,25233.08545
1_10_2013-01-18,28058.00065
1_10_2013-01-25,24540.41615
1_10_2013-02-01,33273.51305
1_10_2013-02-08,36044.97005
1_10_2013-02-15,38224.6876
1_10_2013-02-22,35626.1585
1_10_2013-03-01,33535.58495
1_10_2013-03-08,31448.5261
1_10_2013-03-15,29583.16325
1_10_2013-03-22,33983.41585
1_10_2013-03-29,32882.67985
1_10_2013-04-05,33378.9732
1_10_2013-04-12,29385.36005
1_10_2013-04-19,30215.3282
1_10_2013-04-26,28775.75475
1_10_2013-05-03,29211.571
1_10_2013-05-10,32048.8335
1_10_2013-05-17,34929.0129
1_10_2013-05-24,34212.26505
1_10_2013-05-31,31827.32465
1_10_2013-06-07,31471.5967
1_10_2013-06-14,34415.81825
1_10_2013-06-21,34325.25115
1_10_2013-06-28,30991.54565
1_10_2013-07-05,33063.14285
1_10_2013-07-12,32736.0227
1_10_2013-07-19,31895.3443
1_10_2013-07-26,29276.58105
1_11_2012-11-02,24126.646
1_11_2012-11-09,24266.06305
1_11_2012-11-16,23862.68145
1_11_2012-11-23,28477.72905
1_11_2012-11-30,30342.2967
1_11_2012-12-07,33338.953
1_11_2012-12-14,25735.4061
1_11_2012-12-21,28440.55025
1_11_2012-12-28,25021.5092
1_11_2013-01-04,25432.0266
1_11_2013-01-11,24659.07995
1_11_2013-01-18,24129.7155
1_11_2013-01-25,19377.66175
1_11_2013-02-01,24269.97245
1_11_2013-02-08,25755.89825
1_11_2013-02-15,25529.61475
1_11_2013-02-22,23997.02695
1_11_2013-03-01,24266.41385
1_11_2013-03-08,24229.1795
1_11_2013-03-15,22524.8863
1_11_2013-03-22,26364.64295
1_11_2013-03-29,26047.58605
1_11_2013-04-05,25803.55655
1_11_2013-04-12,23267.8699
1_11_2013-04-19,25226.24645
1_11_2013-04-26,22147.7471
1_11_2013-05-03,24199.73985
1_11_2013-05-10,25683.5233
1_11_2013-05-17,27102.9333
1_11_2013-05-24,32357.78695
1_11_2013-05-31,28126.4649
1_11_2013-06-07,26982.9994
1_11_2013-06-14,29333.04165
1_11_2013-06-21,30395.0811
1_11_2013-06-28,25115.63705
1_11_2013-07-05,30600.80495
1_11_2013-07-12,28624.0552
1_11_2013-07-19,25558.1711
1_11_2013-07-26,22365.94955
1_12_2012-11-02,9764.3606
1_12_2012-11-09,10357.49895
1_12_2012-11-16,9674.17035
1_12_2012-11-23,7991.8891
1_12_2012-11-30,8452.41825
1_12_2012-12-07,9409.4826
1_12_2012-12-14,8212.2899
1_12_2012-12-21,8951.37745
1_12_2012-12-28,8083.7775
1_12_2013-01-04,7965.22895
1_12_2013-01-11,8382.0787
1_12_2013-01-18,8931.8708
1_12_2013-01-25,8634.71435
1_12_2013-02-01,9942.46345
1_12_2013-02-08,10266.94795
1_12_2013-02-15,9781.92315
1_12_2013-02-22,10539.2381
1_12_2013-03-01,10583.81235
1_12_2013-03-08,10303.58005
1_12_2013-03-15,10405.3683
1_12_2013-03-22,11230.08215
1_12_2013-03-29,10353.8468
1_12_2013-04-05,10770.551
1_12_2013-04-12,10361.174
1_12_2013-04-19,10208.66315
1_12_2013-04-26,9824.84445
1_12_2013-05-03,9705.47995
1_12_2013-05-10,10341.87365
1_12_2013-05-17,10764.4576
1_12_2013-05-24,11652.36735
1_12_2013-05-31,11022.1025
1_12_2013-06-07,11084.76125
1_12_2013-06-14,11501.1846
1_12_2013-06-21,11463.94215
1_12_2013-06-28,11146.7579
1_12_2013-07-05,11476.96705
1_12_2013-07-12,11450.4836
1_12_2013-07-19,11526.78745
1_12_2013-07-26,10651.4498
1_13_2012-11-02,39323.89495
1_13_2012-11-09,39215.73885
1_13_2012-11-16,38623.8143
1_13_2012-11-23,38155.59165
1_13_2012-11-30,37698.2424
1_13_2012-12-07,38278.25095
1_13_2012-12-14,34366.56935
1_13_2012-12-21,37774.3194
1_13_2012-12-28,35279.28425
1_13_2013-01-04,38688.0299
1_13_2013-01-11,38382.5213
1_13_2013-01-18,37536.0172
1_13_2013-01-25,35079.6828
1_13_2013-02-01,41449.12745
1_13_2013-02-08,43292.37945
1_13_2013-02-15,42099.74495
1_13_2013-02-22,42301.6358
1_13_2013-03-01,39148.27315
1_13_2013-03-08,38835.34435
1_13_2013-03-15,38914.3782
1_13_2013-03-22,41443.2688
1_13_2013-03-29,40108.7472
1_13_2013-04-05,40178.05835
1_13_2013-04-12,38571.69735
1_13_2013-04-19,38964.71005
1_13_2013-04-26,38203.87505
1_13_2013-05-03,38517.48855
1_13_2013-05-10,39073.68455
1_13_2013-05-17,41445.9807
1_13_2013-05-24,40563.74015
1_13_2013-05-31,39661.0011
1_13_2013-06-07,39638.3175
1_13_2013-06-14,41228.7129
1_13_2013-06-21,40918.0084
1_13_2013-06-28,40512.77215
1_13_2013-07-05,39723.91765
1_13_2013-07-12,39659.77455
1_13_2013-07-19,39605.13535
1_13_2013-07-26,39265.16775
1_14_2012-11-02,14693.5689
1_14_2012-11-09,15604.9769
1_14_2012-11-16,17359.39665
1_14_2012-11-23,38442.86025
1_14_2012-11-30,19310.5
1_14_2012-12-07,19631.7329
1_14_2012-12-14,25043.5175
1_14_2012-12-21,34887.4215
1_14_2012-12-28,24416.475
1_14_2013-01-04,17705.77365
1_14_2013-01-11,15341.3177
1_14_2013-01-18,16913.42935
1_14_2013-01-25,14015.37285
1_14_2013-02-01,16025.58815
1_14_2013-02-08,16630.9081
1_14_2013-02-15,18850.5121
1_14_2013-02-22,17332.45075
1_14_2013-03-01,16570.7293
1_14_2013-03-08,15049.5099
1_14_2013-03-15,13939.71905
1_14_2013-03-22,15706.30035
1_14_2013-03-29,16295.54475
1_14_2013-04-05,15875.3874
1_14_2013-04-12,13912.4332
1_14_2013-04-19,13574.84145
1_14_2013-04-26,14041.16885
1_14_2013-05-03,13628.5362
1_14_2013-05-10,14563.1691
1_14_2013-05-17,14416.9356
1_14_2013-05-24,15393.7573
1_14_2013-05-31,14391.57625
1_14_2013-06-07,13783.4965
1_14_2013-06-14,14894.94475
1_14_2013-06-21,14573.9615
1_14_2013-06-28,13022.09835
1_14_2013-07-05,14926.7907
1_14_2013-07-12,14550.69185
1_14_2013-07-19,14147.957
1_14_2013-07-26,13047.51345
1_16_2012-11-02,15742.67075
1_16_2012-11-09,11813.62235
1_16_2012-11-16,9869.6556
1_16_2012-11-23,9001.77435
1_16_2012-11-30,10256.23505
1_16_2012-12-07,13543.48715
1_16_2012-12-14,6006.2076
1_16_2012-12-21,10050.64815
1_16_2012-12-28,6651.12125
1_16_2013-01-04,6490.20005
1_16_2013-01-11,7066.55525
1_16_2013-01-18,7870.94465
1_16_2013-01-25,7090.15635
1_16_2013-02-01,16089.08455
1_16_2013-02-08,19280.94445
1_16_2013-02-15,14968.04895
1_16_2013-02-22,21566.2811
1_16_2013-03-01,26515.9665
1_16_2013-03-08,25018.77715
1_16_2013-03-15,19256.25965
1_16_2013-03-22,29524.39955
1_16_2013-03-29,23496.92955
1_16_2013-04-05,25120.2408
1_16_2013-04-12,21429.2405
1_16_2013-04-19,23692.3178
1_16_2013-04-26,15256.6982
1_16_2013-05-03,20099.17535
1_16_2013-05-10,20567.36685
1_16_2013-05-17,27480.41635
1_16_2013-05-24,37644.4239
1_16_2013-05-31,31975.40265
1_16_2013-06-07,29138.47815
1_16_2013-06-14,31647.4458
1_16_2013-06-21,33731.163
1_16_2013-06-28,25576.3492
1_16_2013-07-05,32990.35115
1_16_2013-07-12,30469.83305
1_16_2013-07-19,31163.4862
1_16_2013-07-26,20781.99685
1_17_2012-11-02,8609.6409
1_17_2012-11-09,7990.48955
1_17_2012-11-16,9502.13145
1_17_2012-11-23,12177.94275
1_17_2012-11-30,9680.20095
1_17_2012-12-07,9271.90955
1_17_2012-12-14,11179.2496
1_17_2012-12-21,15606.09535
1_17_2012-12-28,10324.18825
1_17_2013-01-04,9363.9345
1_17_2013-01-11,9240.59735
1_17_2013-01-18,9283.39395
1_17_2013-01-25,7851.53005
1_17_2013-02-01,8616.9258
1_17_2013-02-08,9575.0229
1_17_2013-02-15,10689.1466
1_17_2013-02-22,9648.65615
1_17_2013-03-01,10010.95195
1_17_2013-03-08,9359.33735
1_17_2013-03-15,8733.259
1_17_2013-03-22,8681.5094
1_17_2013-03-29,9496.893
1_17_2013-04-05,9253.8934
1_17_2013-04-12,8257.0256
1_17_2013-04-19,7918.1864
1_17_2013-04-26,8226.09135
1_17_2013-05-03,7827.15625
1_17_2013-05-10,8683.65095
1_17_2013-05-17,8654.1469
1_17_2013-05-24,7726.16025
1_17_2013-05-31,7664.5856
1_17_2013-06-07,7929.2642
1_17_2013-06-14,7914.78305
1_17_2013-06-21,7961.05315
1_17_2013-06-28,8261.2929
1_17_2013-07-05,7854.295
1_17_2013-07-12,7647.10335
1_17_2013-07-19,7844.2056
1_17_2013-07-26,7881.829
1_18_2012-11-02,5998.9785
1_18_2012-11-09,8174.6036
1_18_2012-11-16,11308.59455
1_18_2012-11-23,29229.0041
1_18_2012-11-30,28641.127
1_18_2012-12-07,24905.9428
1_18_2012-12-14,25415.32625
1_18_2012-12-21,15940.83515
1_18_2012-12-28,19724.84735
1_18_2013-01-04,13429.5263
1_18_2013-01-11,4584.9987
1_18_2013-01-18,11894.7664
1_18_2013-01-25,5871.52565
1_18_2013-02-01,8330.92615
1_18_2013-02-08,7506.76395
1_18_2013-02-15,17925.91295
1_18_2013-02-22,4469.523
1_18_2013-03-01,6794.4561
1_18_2013-03-08,4928.5746
1_18_2013-03-15,5705.6026
1_18_2013-03-22,6192.0217
1_18_2013-03-29,8315.46355
1_18_2013-04-05,7051.3281
1_18_2013-04-12,5015.8586
1_18_2013-04-19,7102.4325
1_18_2013-04-26,7358.8289
1_18_2013-05-03,9060.24305
1_18_2013-05-10,5217.41915
1_18_2013-05-17,4146.80175
1_18_2013-05-24,4968.53075
1_18_2013-06-07,3466.5811
1_18_2013-07-05,6748.5162
1_19_2012-11-02,982.31825
1_19_2012-11-09,1008.42395
1_19_2012-11-16,889.17405
1_19_2012-11-23,903.2581
1_19_2012-11-30,1205.40595
1_19_2012-12-07,1515.1027
1_19_2012-12-14,1209.37695
1_19_2012-12-21,1705.04285
1_19_2012-12-28,931.682
1_19_2013-01-04,711.60415
1_19_2013-01-11,767.6598
1_19_2013-01-18,987.78585
1_19_2013-01-25,799.18155
1_19_2013-02-01,1047.13285
1_19_2013-02-08,1029.8584
1_19_2013-02-15,877.98975
1_19_2013-02-22,976.7527
1_19_2013-03-01,1225.228
1_19_2013-03-08,1162.8489
1_19_2013-03-15,1188.1871
1_19_2013-03-22,1113.9226
1_19_2013-03-29,1190.8008
1_19_2013-04-05,1165.50895
1_19_2013-04-12,1191.54615
1_19_2013-04-19,1240.32305
1_19_2013-04-26,1118.90005
1_19_2013-05-03,1244.93425
1_19_2013-05-10,1117.807
1_19_2013-05-17,1104.1038
1_19_2013-05-24,1177.3608
1_19_2013-05-31,1284.30255
1_19_2013-06-07,1166.90945
1_19_2013-06-14,1073.4236
1_19_2013-06-21,1163.3411
1_19_2013-06-28,1101.7073
1_19_2013-07-05,1068.15175
1_19_2013-07-12,1071.57415
1_19_2013-07-19,1183.46325
1_19_2013-07-26,1245.5655
1_20_2012-11-02,4247.1775
1_20_2012-11-09,3547.23115
1_20_2012-11-16,3230.81195
1_20_2012-11-23,5320.7982
1_20_2012-11-30,3823.1492
1_20_2012-12-07,3356.23735
1_20_2012-12-14,3923.62055
1_20_2012-12-21,5155.1581
1_20_2012-12-28,4305.48205
1_20_2013-01-04,3558.55405
1_20_2013-01-11,4372.69075
1_20_2013-01-18,3992.28335
1_20_2013-01-25,3517.19455
1_20_2013-02-01,4323.1074
1_20_2013-02-08,5658.35025
1_20_2013-02-15,5387.43175
1_20_2013-02-22,4945.9465
1_20_2013-03-01,5512.76115
1_20_2013-03-08,4520.9779
1_20_2013-03-15,4212.24865
1_20_2013-03-22,4621.0373
1_20_2013-03-29,4794.23515
1_20_2013-04-05,4878.4295
1_20_2013-04-12,4113.33125
1_20_2013-04-19,3886.96975
1_20_2013-04-26,3786.98235
1_20_2013-05-03,3697.9345
1_20_2013-05-10,4342.58145
1_20_2013-05-17,4895.58
1_20_2013-05-24,4581.25535
1_20_2013-05-31,4081.52795
1_20_2013-06-07,4243.7456
1_20_2013-06-14,4544.82565
1_20_2013-06-21,4405.0705
1_20_2013-06-28,4253.81475
1_20_2013-07-05,4295.80195
1_20_2013-07-12,4298.4683
1_20_2013-07-19,4299.6691
1_20_2013-07-26,3650.8831
1_21_2012-11-02,7597.07285
1_21_2012-11-09,8444.8611
1_21_2012-11-16,7919.075
1_21_2012-11-23,10049.759
1_21_2012-11-30,7842.03935
1_21_2012-12-07,8828.2883
1_21_2012-12-14,9876.28895
1_21_2012-12-21,11949.52325
1_21_2012-12-28,7927.4322
1_21_2013-01-04,7794.3472
1_21_2013-01-11,7289.2383
1_21_2013-01-18,7723.1168
1_21_2013-01-25,7244.79865
1_21_2013-02-01,8167.7553
1_21_2013-02-08,8156.56075
1_21_2013-02-15,8628.44485
1_21_2013-02-22,8250.42805
1_21_2013-03-01,7949.1783
1_21_2013-03-08,7681.37095
1_21_2013-03-15,7566.33755
1_21_2013-03-22,8008.26255
1_21_2013-03-29,7932.33785
1_21_2013-04-05,7855.3627
1_21_2013-04-12,7470.2601
1_21_2013-04-19,7710.278
1_21_2013-04-26,7477.1688
1_21_2013-05-03,7593.75635
1_21_2013-05-10,7562.62945
1_21_2013-05-17,7703.1619
1_21_2013-05-24,6964.01035
1_21_2013-05-31,7187.86665
1_21_2013-06-07,7225.67005
1_21_2013-06-14,7145.6576
1_21_2013-06-21,7151.9235
1_21_2013-06-28,6773.73905
1_21_2013-07-05,6974.2657
1_21_2013-07-12,6987.33325
1_21_2013-07-19,7169.8419
1_21_2013-07-26,7245.8576
1_22_2012-11-02,7618.70915
1_22_2012-11-09,7392.36215
1_22_2012-11-16,8237.8203
1_22_2012-11-23,19897.82775
1_22_2012-11-30,8390.28195
1_22_2012-12-07,8433.327
1_22_2012-12-14,9153.7478
1_22_2012-12-21,13987.81765
1_22_2012-12-28,10422.4052
1_22_2013-01-04,9496.1322
1_22_2013-01-11,8454.77775
1_22_2013-01-18,8376.4084
1_22_2013-01-25,6446.42765
1_22_2013-02-01,9061.01925
1_22_2013-02-08,10492.18085
1_22_2013-02-15,10323.4804
1_22_2013-02-22,9627.33695
1_22_2013-03-01,9600.00225
1_22_2013-03-08,8354.5625
1_22_2013-03-15,7698.15675
1_22_2013-03-22,8063.0858
1_22_2013-03-29,8759.7627
1_22_2013-04-05,8528.9507
1_22_2013-04-12,7574.99065
1_22_2013-04-19,7392.13265
1_22_2013-04-26,7519.6011
1_22_2013-05-03,7384.9027
1_22_2013-05-10,7372.69905
1_22_2013-05-17,7565.35615
1_22_2013-05-24,6527.39495
1_22_2013-05-31,6952.01175
1_22_2013-06-07,6877.23635
1_22_2013-06-14,6712.2959
1_22_2013-06-21,6788.9411
1_22_2013-06-28,7123.49445
1_22_2013-07-05,6951.1544
1_22_2013-07-12,6653.72545
1_22_2013-07-19,6950.78415
1_22_2013-07-26,7523.189
1_23_2012-11-02,18745.70865
1_23_2012-11-09,20949.7757
1_23_2012-11-16,20517.75105
1_23_2012-11-23,31455.0973
1_23_2012-11-30,22446.7964
1_23_2012-12-07,28148.85355
1_23_2012-12-14,28831.9544
1_23_2012-12-21,42513.5154
1_23_2012-12-28,25004.14035
1_23_2013-01-04,19681.431
1_23_2013-01-11,16229.43605
1_23_2013-01-18,18941.9842
1_23_2013-01-25,14741.34815
